0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:30 -0400] "GET /atm-ui/resources/js-jsx/model/LoginModel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:30 -0400] "GET /atm-ui/resources/js-jsx/view/AccountInfoBox.jsx HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:30 -0400] "GET /atm-ui/resources/js-jsx/view/MiddleArea.jsx HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:30 -0400] "GET /atm-ui/resources/js-jsx/view/TransactionWindowArea.jsx HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:30 -0400] "GET /atm-ui/resources/js-jsx/view/TransferForm.jsx HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:30 -0400] "GET /atm-ui/resources/js-jsx/controller/LoginController.jsx HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:30 -0400] "GET /atm-ui/resources/js-jsx/controller/AccountInfoBoxController.jsx HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:30 -0400] "GET /atm-ui/resources/js-jsx/view/LoginForm.jsx HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:30 -0400] "GET /atm-ui/resources/js-jsx/controller/BankingAreaController.jsx HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:30 -0400] "GET /atm-ui/resources/js-jsx/controller/TransferController.jsx HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:30 -0400] "GET /atm-ui/resources/images/ice-sunset.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:31 -0400] "GET /atm-ui/resources/images/penguin-black.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:51 -0400] "GET /atm-api/users/michael HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:51 -0400] "GET /atm-api/users/michael HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:52 -0400] "GET /atm-ui/resources/images/transfer-arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:52 -0400] "GET /atm-ui/resources/images/penguin-white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:52 -0400] "GET /atm-api/accounts/654321 HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:52 -0400] "GET /atm-api/accounts/111222 HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [23/Aug/2020:20:34:17 -0400] "GET /atm-api/history/08-12-2020-11-14-39-557 HTTP/1.1" 200 129
